"TÜRKİYE KATILIM BANKALARI ÜRÜN, KÂR PAYI VE FİNANSMAN KARSILASTIRMA TABLOSU",,,,,,
"TOM Bank, Türkiye Emlak Katılım, Türkiye Finans, Vakıf Katılım, Ziraat Katılım, Adil Katılım, Albaraka Türk, Dünya Katılım, Hayat Finans, Kuveyt Türk",,,,,,
,,,,,,
Banka,Ürün Kategorisi,Ürün / Detay,Oran (Aylık/Yıllık),Vade,Finansman / Bakiye Tutarı,Ödül / Ek Avantaj
TOM Bank,Katılma Hesabı,Günlük Kazandıran Hesap,%44.00 (Yıllık TNS),Günlük (Esnek),50.000 TL - 249.999 TL,"Esnek Çekim, Sıfır Masraf"
TOM Bank,Katılma Hesabı,Vadeli Katılma Hesabı,%30.00 - %38.00 (Yıllık),1 - 6 Ay,10.000 TL - 1.000.000 TL+,Hoş Geldin Kâr Payı Oranı
TOM Bank,İhtiyaç Finansmanı,Hadi Kredi / Alışveriş,%3.89 - %4.20 (Aylık),1 - 36 Ay,1.000 TL - 100.000 TL,"Anında Mobil Onay, A101 / Hadi Puan"
Türkiye Emlak Katılım,Katılma Hesabı,Üretenle Kazan / Standart Katılma,%28.00 - %32.00 (Yıllık),1 - 12 Ay,Min. 10.000 TL,90/10 Avantajlı Havuz Paylaşımı
Türkiye Emlak Katılım,Konut Finansmanı,İlk Evim / Standart Konut,%3.49 - %3.89 (Aylık),12 - 120 Ay,Ekspertiz Değerinin %80-%90'ı,Uygun Tahsis Ücreti (%0.5)
Türkiye Emlak Katılım,Taşıt Finansmanı,0 KM & 2. El Araç Finansmanı,%3.75 - %4.10 (Aylık),12 - 48 Ay,Fatura/Kasko Değerine Göre,Kasko Entegrasyon İndirimi
Türkiye Emlak Katılım,İhtiyaç Finansmanı,Bireysel İhtiyaç Finansmanı,%3.89 (Aylık),1 - 36 Ay,1.000 TL - 1.000.000 TL,Esnek Taksit Ödeme Planı
Türkiye Emlak Katılım,KOBİ / Ticari Finansman,Ticari Taksitli Finansman,Değişken (Müşteri Skoru),3 - 60 Ay,Limit Sınırsız (Proje Bazlı),İmalatçıya Özel Ertelemeli Taksit
Türkiye Finans,Katılma Hesabı,Yedek Hesap / Katılma Hesabı,%31.00 - %35.00 (Yıllık),32 - 365 Gün,Min. 5.000 TL,TCKN Özel Bonus Katkısı
Türkiye Finans,Konut Finansmanı,Sigortalı Konut Finansmanı,%3.49 (Aylık),12 - 120 Ay,Min. 100.000 TL,İlk Evim Desteği & İndirim
Türkiye Finans,Taşıt Finansmanı,Auto Finansman,%3.69 - %3.99 (Aylık),12 - 48 Ay,Araç Rayiç Değerine Göre,Anında Bayi Onay İmkanı
Türkiye Finans,İhtiyaç Finansmanı,Hızlı İhtiyaç Finansmanı,%3.79 - %4.15 (Aylık),1 - 36 Ay,Max 500.000 TL,Happy Card Bonus Puan
Türkiye Finans,KOBİ / Ticari Finansman,İş Yeri & Araç Finansmanı,Özel Skorlama Oranı,12 - 60 Ay,Proje / Teminat Başına,6 Ay Ödemesiz Dönem İmkanı
Vakıf Katılım,Katılma Hesabı,Standart TL Katılma Hesabı,%31.50 - %36.90 (Yıllık),1 - 12 Ay,Min. 250 TL,Yüksek Paylaşım Oranı
Vakıf Katılım,Konut Finansmanı,Konut Finansmanı Paketi,%2.99 - %3.38 (Aylık),1 - 120 Ay,1.000 TL - 2.000.000 TL,Ekspertiz Ücretsiz Kampanyası
Vakıf Katılım,Taşıt Finansmanı,0 KM / 2. El Taşıt Finansmanı,%3.59 - %3.89 (Aylık),1 - 48 Ay,Kasko Değeri Oranında,Tamamlayıcı Sigorta İndirimi
Vakıf Katılım,İhtiyaç Finansmanı,Bireysel İhtiyaç Finansmanı,%3.75 - %3.99 (Aylık),1 - 36 Ay,Fatura Tutarına Göre %100,Nakit Avans Hediyeli Kampanya
Vakıf Katılım,KOBİ / Ticari Finansman,İş Yeri & Ticari Araç Finansmanı,Özel Kampanya Oranı,1 - 60 Ay,Ekspertiz Değerinin %100'ü,KGF Destekli Finansman Seçeneği
Ziraat Katılım,Katılma Hesabı,TL Katılma Hesabı,%28.03 - %31.88 (Yıllık),1 - 12 Ay,Min. 1.000 TL,Devlet Bankası Güvencesi
Ziraat Katılım,Konut Finansmanı,Bireysel Konut Finansmanı,%3.39 - %3.49 (Aylık),1 - 120 Ay,BDDK Limitlerine Göre,Ortak Tapu Finansman İmkânı
Ziraat Katılım,Taşıt Finansmanı,Bireysel Taşıt Finansmanı,%3.49 - %3.79 (Aylık),1 - 48 Ay,Fatura / Kasko Oranlı,Yerli Üretime Özel İndirimli Oran
Ziraat Katılım,İhtiyaç Finansmanı,Bireysel İhtiyaç Finansmanı,%3.49 - %3.89 (Aylık),1 - 36 Ay,Max Yasal Sınır,Masrafsız İhtiyaç Paketi
Ziraat Katılım,KOBİ / Ticari Finansman,Ticari Taksitli / İmalat Finansmanı,Merkez Bankası Endeksli,3 - 60 Ay,Limit Proje Bazlı,12 Ay Anapara Ödemesiz Dönem
Adil Katılım,Katılma Hesabı,Dijital Katılma Hesabı (Ön Başvuru),Havuz Performansına Bağlı,1 - 12 Ay,Esnek Bakiye,"Sıfır Masraf, Dijital İndirimler"
Adil Katılım,İhtiyaç Finansmanı,Bireysel Dijital Finansman,%3.79 - %4.19 (Tahmini Aylık),1 - 36 Ay,1.000 TL - 250.000 TL,7/24 Şubesiz Hızlı Onay
