banka,urun_adi_veya_baslik,kar_payi_orani_raw,vade_raw,finansman_tutari_raw,tahsis_ucreti_raw,masraf_bilgisi,odul_miktari_raw,alisveris_puani_raw,indirim_orani_raw,kampanya_baslangic_tarihi,kampanya_bitis_tarihi,urun_ailesi,kampanya_turu,hedef_kitle,kampanya_kosullari,avantajlar,_kaynak_url,_metin_ozeti
Albaraka Türk,BES Teminatlı Finansman,,,,,,,,,,,,,,,,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/birikimlerinizi-koruyan-bes-teminatli-finansman-albarakada,"Albaraka Mobil Mobil Bankacılık Aç BES Teminatlı Finansman Anasayfa Bireysel Finansmanlar BES Teminatlı Finansman Konut Finansmanı Taşıt Finansmanı Gayrimenkul Finansmanı Bayide Finansman İhtiyaç Finansmanı BES Teminatlı Finansman Findeks Kredi Notu Öğrenme Müşteri Ol Birikimlerinizi Koruyan, BES Te"
Albaraka Türk,Findeks Kredi Notu Öğrenme,,,,,,,,,,,,,,,,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/kredi-notu-ogrenme,"Albaraka Mobil Mobil Bankacılık Aç Findeks Kredi Notu Öğrenme Anasayfa Bireysel Finansmanlar Findeks Kredi Notu Öğrenme Konut Finansmanı Taşıt Finansmanı Gayrimenkul Finansmanı Bayide Finansman İhtiyaç Finansmanı BES Teminatlı Finansman Findeks Kredi Notu Öğrenme Müşteri Ol Findeks Kredi Notu, sigor"
Albaraka Türk,Hesaplar ile Birikimlerinizi Değerlendirin,,,,,,,,,,,,,,,,https://www.albaraka.com.tr/tr/bireysel/hesaplar,"Albaraka Mobil Mobil Bankacılık Aç Hesaplar Anasayfa Bireysel Hesaplar Cari Hesaplar Altın Hesapları Gümüş Hesabı TMSF Güvencesi Katılma Hesapları Cari Hesaplar Cari hesaplar; vadesiz olarak açabildiğiniz, istediğiniz zaman para yatırılıp çekebildiğiniz, karşılığında kâr payı ödemesi gerçekleştirmey"
Albaraka Türk,Altın Hesapları,,6 ay ve üzeri,500 - 5.000 gr altın,,Kârlı Altın Hesabı hesap işletim ücretinden muaf,,,,,,mevduat,,,,,https://www.albaraka.com.tr/tr/bireysel/hesaplar/altin-hesaplari,Albaraka Mobil Mobil Bankacılık Aç Altın Hesapları Anasayfa Bireysel Hesaplar Altın Hesapları Kârlı Altın Hesabı Altın Birikim Hesabı Altın Cari Hesabı Fiziki Altın Toplama Kuyumcular Vasıtasıyla Altın Toplama Kârlı Altın Hesabı Kârlı Altın Hesabı altın cinsinden açtığınız katılma hesabıdır. Hesap i
Albaraka Türk,Hisse Senedi İşlemleri / Yatırım Hesabı,,,,,,,,,,,,,,,,https://www.albaraka.com.tr/tr/bireysel/yatirim/sermaye-piyasasi-urunleri/hisse-senedi-islemleri,"Albaraka Mobil Mobil Bankacılık Aç Hisse Senedi İşlemleri Anasayfa Bireysel Yatırım Sermaye Piyasası Ürünleri Hisse Senedi İşlemleri Kira Sertifikası (Sukuk) Hisse Senedi İşlemleri Özel Fon Havuzuna Dayalı Kira Sertifikası Halka Arz Albaraka Mobil İndir Müşteri Ol Hisse senedi, yurtiçi ve yurtdışı b"
Albaraka Türk,Yatırım Hesabı,,,,,,,,,,,,,,,,https://www.albaraka.com.tr/tr/bireysel/yatirim/yatirim-hesabi,Albaraka Mobil Mobil Bankacılık Aç Yatırım Hesabı Anasayfa Bireysel Yatırım Yatırım Hesabı Yatırım Hesabı Platformlar Yatırım Fonları Sermaye Piyasası Ürünleri Hazine Ürünleri albaFX Albaraka Mobil İndir Yatırım Hesabı; Menkul Kıymetlerin alım-satımı için açılması gereken özel nitelikli bir hesaptır
Albaraka Türk,Kart Güvenliği,,,,,,,,,,,,,,,,https://www.albaraka.com.tr/tr/dijital-bankacilik/guvenlik/kart-guvenligi,Albaraka Mobil Mobil Bankacılık Aç Kart Güvenliği Anasayfa Dijital Bankacılık Güvenlik Kart Güvenliği Kart Güvenliği Güvenlik İpuçları Albaraka Türk olarak güvenliğinize azami önem göstermekteyiz. Güvenliğinizi en yüksek seviyede tutabilmek için siz müşterilerimizin de kartlarını kullanırken dikkat 
Albaraka Türk,Döviz Kuru Hesaplama ve Çevirici,,,,,,,,,,,,,,,,https://www.albaraka.com.tr/tr/hesaplama-araclari/doviz-cevirici,Albaraka Mobil Mobil Bankacılık Aç Döviz Kuru Hesaplama ve Döviz Çevirici Anasayfa Hesaplama Araçları Döviz Kuru Hesaplama ve Döviz Çevirici Finansman Hesaplama Kâr Payı Hesaplama Döviz Kuru Hesaplama ve Döviz Çevirici Döviz Çevirici Döviz Al Döviz Sat Alım Yapılacak Tutar TL USD EUR GBP CHF NOK DKK
Albaraka Türk,Katılma Hesabı,,,,,,,,,,,,,,,,https://www.albaraka.com.tr/tr/hesaplama-araclari/kar-payi-hesaplama,Albaraka Mobil Mobil Bankacılık Aç Kâr Payı Hesaplama Anasayfa Hesaplama Araçları Kâr Payı Hesaplama Finansman Hesaplama Kâr Payı Hesaplama Döviz Kuru Hesaplama ve Döviz Çevirici Albaraka Türk Katılım Bankası kâr payı hesaplama aracı ile tüm katılma hesaplarınızda katılım bankacılığı prensipleri çer
Albaraka Türk,Leasing - Finansal Kiralama,,,,,,,,,,,,,,,,https://www.albaraka.com.tr/tr/kobi/finansmanlar/leasing-finansal-kiralama,"Albaraka Mobil Mobil Bankacılık Aç Leasing - Finansal Kiralama Anasayfa KOBİ Finansmanlar Leasing - Finansal Kiralama Kobi Nakdi Finansman Kobi Gayri Nakdi Finansman Leasing - Finansal Kiralama Katılım Finans Kefalet (KFK) Bayide Finansman Hayal ettiğiniz işi kurmayı, işinizi geliştirmeyi veya kulla"
